MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.11574263675906474,0.6515640018786247,274.5892128944397,5,2,5,angle-X,8
0.1523008605238259,0.5397102880507407,273.99285531044006,5,2,5,angle-X,9
0.006022182347681973,0.9822912063637471,103.68434810638428,1,3,4,angle-X,0
0.1599259602951848,0.6769985811641085,103.39772963523865,1,3,4,angle-X,1
0.006226911934077693,0.9828343493508034,103.8809564113617,1,3,4,angle-X,2
0.13482711456370308,0.04899864547657329,103.62994170188904,1,3,4,angle-X,3
0.03083249076478854,0.7509451080723609,103.86634254455566,1,3,4,angle-X,4
0.08510395415828033,0.5979246971493888,103.5227963924408,1,3,4,angle-X,5
0.00616130707171782,0.9818820970267308,103.71648144721985,1,3,4,angle-X,6
0.34093024925884907,0.03502009963821362,103.65406012535095,1,3,4,angle-X,7
0.010321654489201198,0.9689273021168915,103.71496486663818,1,3,4,angle-X,8
0.012910188033527559,0.9609823167727044,108.45309782028198,1,3,4,angle-X,9
0.0003844216581215909,0.9988695719558207,190.40436959266663,2,3,7,angle-X,0
0.045036964482592146,0.9090391366036593,189.4086856842041,2,3,7,angle-X,1
0.002692429693595461,0.9925778125647077,189.4134180545807,2,3,7,angle-X,2
0.12940378509592626,0.08725203157455819,189.36152982711792,2,3,7,angle-X,3
0.016726593603503176,0.8648879847554998,189.26010704040527,2,3,7,angle-X,4
0.03633492109777054,0.8283349516607894,189.80085229873657,2,3,7,angle-X,5
0.0006097082043299778,0.9982070956763762,189.71016216278076,2,3,7,angle-X,6
0.3442378418608545,0.02565818356752414,189.7963044643402,2,3,7,angle-X,7
0.008482679161089891,0.9744634227886962,190.01539945602417,2,3,7,angle-X,8
0.003804143798037102,0.9885029654659231,189.84510564804077,2,3,7,angle-X,9
0.0010550749017276854,0.9968974530117513,248.9931559562683,3,3,7,angle-X,0
0.0069748141769351004,0.9859130133024778,250.44343066215515,3,3,7,angle-X,1
0.001334428768746507,0.9963213968170672,249.0506489276886,3,3,7,angle-X,2
0.14143488851634664,0.0023907951218171686,249.11143803596497,3,3,7,angle-X,3
0.012757146011485653,0.8969518990394333,249.3586344718933,3,3,7,angle-X,4
0.027111834877567517,0.8719096036482684,249.23246717453003,3,3,7,angle-X,5
0.0009775289073389063,0.9971254843021816,250.09185886383057,3,3,7,angle-X,6
0.32280079979344606,0.0863342742436356,248.95820426940918,3,3,7,angle-X,7
0.007674608494495033,0.9768960691941319,249.02314639091492,3,3,7,angle-X,8
0.004039115223725686,0.9877928254872353,249.27906012535095,3,3,7,angle-X,9
0.0005459071677915233,0.9983947086254051,305.03895568847656,4,3,7,angle-X,0
0.06651915344921455,0.8656516996727666,305.5267400741577,4,3,7,angle-X,1
0.0026917200809339265,0.9925797687451022,305.8719046115875,4,3,7,angle-X,2
0.12841366783992744,0.09423581116992275,305.3382430076599,4,3,7,angle-X,3
0.013965958706035463,0.8871875009147874,306.7711627483368,4,3,7,angle-X,4
0.040580849179247626,0.8082749810504143,305.791286945343,4,3,7,angle-X,5
0.0016777048329558494,0.9950665511347734,305.9385600090027,4,3,7,angle-X,6
0.31750432833910064,0.10132557673848341,305.53082823753357,4,3,7,angle-X,7
0.00752202819868516,0.9773554026701338,305.56430864334106,4,3,7,angle-X,8
0.007317883504054922,0.9778836017171897,305.87987303733826,4,3,7,angle-X,9
0.00024334585304513974,0.9992844186301544,379.8596239089966,5,3,7,angle-X,0
0.03632960621632665,0.926625331297285,375.0114986896515,5,3,7,angle-X,1
0.0050644225812330294,0.9860389692853067,377.284099817276,5,3,7,angle-X,2
0.1331541886827596,0.06079860710849594,377.8439004421234,5,3,7,angle-X,3
0.017993969292004336,0.8546505336997502,377.90672039985657,5,3,7,angle-X,4
0.03852039645561049,0.8180096304102427,378.5094974040985,5,3,7,angle-X,5
0.001397729707380124,0.9958898443258228,377.4902865886688,5,3,7,angle-X,6
0.3183921642326227,0.09881261758061755,377.4980652332306,5,3,7,angle-X,7
0.007393254767094145,0.9777430670643823,379.643119096756,5,3,7,angle-X,8
0.008718885809275078,0.9736494368852112,378.11186718940735,5,3,7,angle-X,9
0.006153215254470311,0.9819058917764586,117.63081669807434,1,4,5,angle-X,0
0.15992955367064754,0.6769913236471254,117.64874386787415,1,4,5,angle-X,1
0.006284164825406435,0.9826765210176568,117.95677280426025,1,4,5,angle-X,2
0.134896569791499,0.04850874390205406,117.81974911689758,1,4,5,angle-X,3
0.030369435578150198,0.7546855181593868,118.07339000701904,1,4,5,angle-X,4
0.08478115558608311,0.5994497653434535,117.8926694393158,1,4,5,angle-X,5
0.006047299647920385,0.9822173465798777,117.91918277740479,1,4,5,angle-X,6
0.3423503217805923,0.03100068087582053,117.88123798370361,1,4,5,angle-X,7
0.010318978158967367,0.9689353590423464,117.92408108711243,1,4,5,angle-X,8
0.01332235238127328,0.9597366573046808,117.99336242675781,1,4,5,angle-X,9
0.00021263929006603728,0.9993747141668355,226.8973741531372,2,4,9,angle-X,0
0.04529830385492902,0.9085113111780267,237.8845329284668,2,4,9,angle-X,1
0.0009286972666959636,0.9974398718003825,228.18849873542786,2,4,9,angle-X,2
0.13194706863586952,0.06931301315641625,243.68696570396423,2,4,9,angle-X,3
0.012075650798570479,0.9024567970347528,234.39599180221558,2,4,9,angle-X,4
0.04869877265421906,0.7699216921580244,228.16756224632263,2,4,9,angle-X,5
0.00020005909822409166,0.9994117074042321,226.6059763431549,2,4,9,angle-X,6
0.32631458761511595,0.07638873661704293,227.02030086517334,2,4,9,angle-X,7
0.007473057997861846,0.97750282440926,226.640887260437,2,4,9,angle-X,8
0.0026965247437783935,0.991850455780034,227.01837420463562,2,4,9,angle-X,9
0.0007746109442737351,0.9977221836589178,300.7229902744293,3,4,9,angle-X,0
